author_id,author
1,A.S. Byatt
2,Aesop/Laura Harris/Laura Gibbs
3,Agatha Christie
4,Alan Brennert
5,Alan Moore/David   Lloyd
6,Alan Paton
7,Albert Camus/Justin O'Brien
8,Aldous Huxley
9,Aldous Huxley/Christopher Hitchens
10,Aleksandr Solzhenitsyn/H.T. Willetts
11,Alexander McCall Smith
12,Alexander Pushkin/James E. Falen
13,Alexandre Dumas/Robin Buss
14,Alice Hoffman
15,Alice Walker
16,Alison Bechdel
17,Allen Ginsberg/William Carlos Williams
18,Amy Sedaris
19,Amy Tan
20,Andy Warhol
21,Anita Diamant
22,Anita Shreve
23,Ann Brashares
24,Ann Patchett
25,Ann Rule
26,Ann-Marie MacDonald
27,Anna Quindlen
28,Anna Sewell
29,Anne Fadiman
30,Anne Lamott
31,Anne McCaffrey
32,Anne Rice
33,Anonymous/N.K. Sandars
34,Anthony Bourdain
35,Aristophanes/Sarah Ruden
36,Art Spiegelman
37,Arthur  Miller/Christopher Bigsby
38,Arthur Conan Doyle/Anne Perry/Sidney Paget
39,Arthur Golden
40,Astrid Lindgren/Florence Lamborn/Louis S. Glanzman
41,Atul Gawande/Susanne Kuhlmann-Krieg
42,Audrey Penn/Ruth E. Harper/Nancy M. Leak
43,Augusten Burroughs
44,Ayn Rand
45,Ayn Rand/Leonard Peikoff
46,Azar Nafisi
47,Barack Obama
48,Barbara Ehrenreich
49,Barbara Kingsolver
50,Barbara Kingsolver/Steven L. Hopp/Camille Kingsolver/Richard A. Houser
51,Barbara Taylor Bradford
52,Barbara W. Tuchman/Robert K. Massie
53,Beatrix Potter
54,Betty  Smith
55,Betty MacDonald/Alexandra Boiger
56,Bill Bryson
57,Bill Watterson
58,Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean
59,Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen
60,Billie Letts
61,Bob Dylan
62,Bram Stoker/Nina Auerbach/David J. Skal
63,Brandon Mull
64,Bret Easton Ellis
65,Brian Greene
66,Brian Jacques
67,Bryan Lee O'Malley
68,Bryce Courtenay
69,C.S. Lewis
70,CLAMP/Anthony Gerard
71,Caleb Carr
72,Candace Bushnell
73,Carl Hiaasen
74,Carl Sagan/Ann Druyan
75,Caroline B. Cooney
76,Carolyn Keene/Russell H. Tandy/Sara Paretsky
77,Carson McCullers
78,Cecily von Ziegesar
79,Chaim Potok
80,Charles Bukowski
81,Charles Burns
82,Charles C. Mann
83,Charles Darwin
84,Charles Dickens
85,Charles Dickens/Michael Slater
86,Charles Dickens/Nicola Bradbury/Hablot Knight Browne
87,Charles Dickens/Stephen J. Wall/Helen Small
88,Charles Frazier
89,Charlotte Brontë/Michael Mason
90,Chimamanda Ngozi Adichie
91,Christina Schwarz
92,Christine Feehan
93,Christopher Marlowe
94,Christopher Moore
95,Chuck Klosterman
96,Chuck Palahniuk
97,Clayton M. Christensen/L.J. Ganser
98,Clive Cussler
99,Cormac McCarthy
100,Cornelia Funke/Anthea Bell
101,Craig Thompson
102,Curtis Sittenfeld
103,D.H. Lawrence/Geoff Dyer
104,Dalai Lama XIV/Howard C. Cutler
105,Dale Carnegie
106,Dan Brown
107,Dan Millman
108,Dan Simmons
109,Daniel Defoe/Mark Schorer/Georgina Sutton
110,Daniel Defoe/Virginia Woolf
111,Daniel Goleman
112,Daniel Keyes
113,Dante Alighieri/Allen Mandelbaum/Eugenio Montale
114,Daphne du Maurier/Sally Beauman
115,Dashiell Hammett
116,Dava Sobel/Neil Armstrong
117,Dave Barry/Ridley Pearson/Greg Call
118,Dave Eggers
119,Dave Pelzer
120,David    Allen
121,David Baldacci
122,David Cote/Stephen Schwartz/Joan Marcus/Winnie Holzman
123,David Foster Wallace
124,David Levithan
125,David McCullough
126,David Weber
127,Dean Koontz
128,Dean R. Koontz
129,Dennis Lehane
130,Diana Gabaldon
131,Diana Gabaldon/Janos Farkas
132,Diana Wynne Jones
133,Diane Setterfield
134,Dodie Smith
135,Don DeLillo
136,Donald Miller
137,Donna Tartt
138,Donna VanLiere
139,Donna Woolfolk Cross
140,Doris Kearns Goodwin
141,Douglas Adams
142,Douglas Preston/Lincoln Child
143,Dr. Seuss
144,Dr. Seuss/Various
145,E.B. White/Fred Marcellino
146,E.B. White/Garth Williams/Rosemary Wells
147,E.M. Forster
148,E.M. Forster/Oliver Stallybrass/Pankaj Mishra
149,Eckhart Tolle
150,Edgar Allan Poe
151,Edgar Allan Poe/Benjamin F. Fisher
152,Edgar Rice Burroughs
153,Edgar Rice Burroughs/John Seelye
154,Edith Hamilton/Steele Savage
155,Edith Wharton/Nina Bawden
156,Edmond Rostand/Eteel Lawson/Lowell Bair
157,Edmund Morris
158,Edward Albee
159,Edward P. Jones
160,Eleanor Estes/Louis Slobodkin
161,Elizabeth Berg
162,Elizabeth Gilbert
163,Ellen Raskin
164,Emily Giffin
165,Eric Schlosser
166,Erich Fromm/Peter D. Kramer/Rainer Funk
167,Erik Larson
168,Erik Larson/Tony Goldwyn
169,Ernest Hemingway
170,Ernest Hemingway/John Hemingway/Patrick Hemingway/Gregory H. Hemingway/Charles Scribner Jr.
171,Ernest J. Gaines
172,Eugene O'Neill/Harold Bloom
173,Evelyn Waugh
174,Faye Perozich/Anne Rice/John Bolton/Daerick Gröss
175,Frances Hodgson Burnett
176,Frances Hodgson Burnett/Nancy Bond
177,Frank Beddor
178,Frank E. Peretti
179,Frank Herbert
180,Franz Kafka/Jason Baker/Donna Freed
