publisher_id,publisher
1,Ace
2,Ace Book
3,Ace Books
4,Ace Hardcover
5,Addison Wesley Publishing Company
6,Aladdin
7,Aladdin Paperbacks
8,Albin Michel
9,Alfred A. Knopf
10,Alfred A. Knopf Books for Young Readers
11,Alfred A. Knopf Borzoi Books
12,Algonquin Books
13,Allen & Ulwin
14,Amistad
15,Anchor
16,Anchor Books
17,Anchor Books/Knopf Doubleday Publishing Group
18,Andrews McMeel Publishing
19,Applewood Books
20,Arrow
21,Arrow Books
22,Arrow Books Ltd
23,Arthur A. Levine Books
24,Arthur A. Levine Books / Scholastic Inc.
25,Atheneum Books for Young Readers
26,Atheneum Books for Young Readers: Richard Jackson Books
27,Atria Books
28,Avon
29,Avon Books
30,BALLANTINE BOOKS
31,Back Bay Books
32,Baen Books
33,Ballantine Books
34,Ballantine Books (NY)
35,Bantam
36,Bantam Books
37,Bantam Books  Inc.
38,Bantam Classics
39,Bantam Doubleday Dell (NYC)
40,Bantam Spectra
41,Bantem Press
42,Barnes  Noble Classics
43,Barnes & Noble
44,Beacon Press
45,Berkley
46,Berkley Books
47,Berkley Hardcover
48,Berkley Publishing Group
49,Black Dog & Leventhal
50,Black Dog & Leventhal Publishers
51,Black Swan
52,Bloomsbury Academic
53,Bloomsbury Childrens Books
54,Bloomsbury Methuen Drama
55,Brilliance Audio
56,Broadway Books
57,Cambridge University Press
58,Candlewick Press
59,Canongate U.S.
60,Castle Books
61,Children's Classics
62,Citadel
63,City Lights
64,Clarkson Potter
65,Corgi
66,Corgi Childrens
67,Crossway Books
68,Crown
69,Crown Publishing Group (NY)
70,DAW
71,DC Comics
72,Dante University of America Press
73,David R. Godine Publisher
74,Daw Books
75,Debolsillo
76,Del Rey
77,Del Rey Books
78,Delacorte Books
79,Delacorte Press
80,Dell
81,Dell Laurel-Leaf
82,Dell Publishing Company
83,Delta
84,Delta Publishing
85,Deodand
86,Devil's Due Publishing
87,Dial Books
88,Dial Press
89,Dial Press Trade Paperback
90,Digireads.com
91,Disney Hyperion Books
92,Disney-Hyperion
93,Doubleday
94,Doubleday & Company  Inc.
95,Doubleday Books
96,Dover Publications
97,Dramatists Play Service
98,Dutton
99,Ecco
100,Ecco/Harper Perennial
101,Ember
102,Eos
103,Everyman's Library
104,Faber  Faber
105,Farrar  Straus and Giroux
106,Farrar  Straus and Giroux (NY)
107,Fourth Estate Paperbacks
108,Free Press
109,G.P. Putnam's Sons
110,Gallery / Saga Press
111,Gallery Books
112,Golden Books
113,Golden/Disney
114,Gollancz
115,Gramercy Books
116,Grand Central Publishing
117,Green Integer
118,Griffin
119,Grove Press
120,HJ Kramer
121,HMH Books for Young Readers
122,Hachette Books
123,Hackett Publishing Company  Inc.
124,Harcourt  Inc.(Harvest Book)
125,Harcourt Brace
126,Harper
127,Harper Business
128,Harper Paperbacks
129,Harper Perennial
130,Harper Perennial Modern Classics
131,Harper Trophy
132,Harper Voyager
133,HarperCollins
134,HarperCollins Perennial
135,HarperCollins Publishers
136,HarperCollins Publishers Ltd
137,HarperCollinsChildren’sBooks
138,HarperCollinsPublishers
139,HarperOne
140,HarperPerennial / Perennial Classics
141,HarperPrism
142,HarperTempest
143,HarperTorch
144,HarperTrophy
145,Harpercollins Children's Books
146,Harpercollins Childrens Books
147,Hartorch
148,Harvard Business Review Press
149,Harvest Books
150,Headline Review
151,Health Communications Inc
152,Henry Holt and Co.
153,Hodder & Stoughton
154,Houghton Mifflin
155,Houghton Mifflin Co. (Boston/NY)
156,Houghton Mifflin Company
157,Houghton Mifflin Harcourt
158,Howard Publishing Co
159,Hyperion
160,Hyperion Books
161,Image Comics
162,Island
163,Jossey-Bass
164,Jove
165,Kensington
166,Kingfisher
167,Knopf
168,Knopf Books for Young Readers
169,Knopf Publishing Group
170,LGF
171,La factoría de ideas
172,Laurel Leaf
173,Leisure Books
174,Listening Library (Audio)
175,Little  Brown & Company
176,Little  Brown and Company
177,Little Brown and Company
178,Mariner Books
179,Marvel
180,McGraw-Hill Education
181,McSweeney's
182,Millenium
183,Modern Library
184,Modern Library Classics
185,Mysterious Press
186,NAL
187,NAL Jam
188,Nelson Books
189,New English Library
190,New English Library (Hodder & Stoughton)
191,New Millennium Library
192,New World Library
193,No Exit Press
194,Noonday Press
195,Norton
196,Oni Press
197,Onyx
198,Orbit
199,Orchard Books
200,Orion
201,Orion Publishing Group
202,Owl Books (Henry Holt)
203,Oxford University Press
204,Oxford University Press  USA
205,Pan Childrens
206,Pantheon
207,Pantheon Books
208,Pearson
209,Pearson Longman
210,Penguin
211,Penguin (Business)
212,Penguin Books
213,Penguin Books /Penguin Classics
214,Penguin Books Limited
215,Penguin Books Ltd
216,Penguin Books Ltd. (London)
217,Penguin Classics
218,Penguin Classics Deluxe Editions
219,Penguin Group (USA)
220,Penguin Signet
221,Perennial / William Morrow / HarperCollins
222,Perfection Learning
223,Picador USA
224,Plaza y Janes
225,Plaza y Janés
226,Plume
227,Plume Books
228,Pocket
229,Pocket Books
230,Pocket Books / Simon & Schuster  Inc.
231,Pocket Star
232,Prestwick House - (Literary Touchstone Classic)
233,Princeton University Press
234,Puffin
235,Puffin Books
236,Putnam
237,Random House
238,Random House Anchor
239,Random House Audio Publishing Group
240,Random House Books for Young Readers
241,Random House Large Print Publishing
242,Random House Trade
243,Random House Trade Paperbacks
244,Random House Vintage
245,Random House: Modern Library
246,Red Fox
247,Riverhead Books
248,Riverhead Hardcover
249,Rizzoli
250,Roc
251,Rupa & Co
252,Sarah Crichton Books
253,Scholastic
254,Scholastic Books
255,Scholastic Inc.
256,Scholastic Paperbacks
257,Scholastic Press
258,Scribner
259,Seal
260,See Sharp Press
261,Seuil
262,Severn House Publishers
263,Shadow Mountain
264,Shambhala
265,Signet
266,Signet Book
267,Signet Classics
268,Simon  Schuster
269,Simon & Schuster
270,Simon & Schuster Childrens Books
271,Simon & Schuster Paperbacks
272,Simon & Schuster Simon Pulse
273,Simon & Schuster; Media Tie-In edition
274,Simon Pulse
275,Simon Schuster
276,Simon and Schuster
277,Smithmark Publishers
278,Speak
279,Spectra
280,Spectra Books
281,Square Fish
282,St. Martin's Griffin
283,St. Martin's Paperbacks
284,St. Martin's Press
285,Starfire
286,Starscape
287,TIme Warner Books
288,Tanglewood
289,Tarcherperigee
290,The Chicken House
291,Thomas Nelson
292,Thorndike Press
293,Titan Books
294,Tom Doherty Tor Fantasy
295,Top Shelf Productions
296,Tor
297,Tor Books
298,Tor Fantasy
299,Touchstone Books
300,Turtleback
301,Turtleback Books
302,Tyndale House Publishers
303,VIZ Media LLC
304,Vermilion
305,Vertigo
306,Victor Gollancz
307,Viking
308,Viking Adult
309,Vintage
310,Vintage Books
311,Vintage Books USA
312,Vintage Classics
313,Vintage Contemporaries
314,Vintage Crime
315,Vintage International
316,Virago
317,Virago Press (UK)
318,Vision
319,Voyager
320,W. W. Norton  Company
321,W. W. Norton & Company
322,W.W. Norton & Company
323,W.W. Norton & Company (NYC)
324,Walker Books
325,Warne
326,Warner Books
327,Warner Books (NY)
328,Warners Visions Books
329,Washington Square Press
330,Wildside Press
331,William Morrow
332,William Morrow / HarperCollins / Harper Perennial
333,William Morrow Paperbacks
334,William Morrow; 1ST edition
335,Wordsworth Editions
336,Workman Publishing Company
337,Wyatt Book
338,Yale University Press
339,Yearling
340,Yearling Books
